Glottocode,LanguageName,macroarea,family_name,latitude,longitude,total_phonemes,n_consonants,n_vowels,n_tones,has_click,has_tone_segment,n_nasal_phonemes,consonant_ratio,vowel_ratio
domp1238,Dompo,Africa,Atlantic-Congo,8.182,-2.295,31,22,7,2,False,True,3,0.7097,0.2258
dong1285,Dongxiang,Eurasia,Mongolic-Khitan,35.5808,103.558,34,28,6,0,False,False,3,0.8235,0.1765
doya1240,Doayo,Africa,Atlantic-Congo,8.68604,13.0768,48,22,22,4,False,True,11,0.4583,0.4583
dual1243,Duala,Africa,Atlantic-Congo,4.10208,9.61877,33,21,7,5,False,True,4,0.6364,0.2121
dupa1235,Dupaningan Agta,Papunesia,Austronesian,17.3748,122.188,21,15,6,0,False,False,3,0.7143,0.2857
duru1236,Parji,Eurasia,Dravidian,19.0534,82.4881,31,21,10,0,False,False,4,0.6774,0.3226
duru1249,Duruma,Africa,Atlantic-Congo,-4.09629,39.322,49,42,5,2,False,True,5,0.8571,0.102
dutc1256,Dutch,Eurasia,Indo-European,52.0,5.0,55,19,36,0,False,False,3,0.3455,0.6545
duun1241,Duungidjawu,Australia,Pama-Nyungan,-26.248,151.868,23,13,10,0,False,False,4,0.5652,0.4348
dyaa1242,Djabugay,Australia,Pama-Nyungan,-16.596,145.388,19,13,6,0,False,False,4,0.6842,0.3158
dyab1238,Jabirr-Jabirr,Australia,Nyulnyulan,-17.18653,122.52306,20,17,3,0,False,False,5,0.85,0.15
dyan1250,Thanggati,Australia,Pama-Nyungan,-30.8469,152.602,19,13,6,0,False,False,4,0.6842,0.3158
dyir1250,DYIRBAL,Australia,Pama-Nyungan,-17.4516,145.544,16,13,3,0,False,False,4,0.8125,0.1875
dyug1238,Jukun,Australia,Nyulnyulan,-17.906,122.408,28,22,6,0,False,False,5,0.7857,0.2143
dyul1238,Dioula,Africa,Mande,10.4536,-4.72007,39,23,14,2,False,True,11,0.5897,0.359
dzal1238,Southern Cuona,Eurasia,Sino-Tibetan,27.7855,91.374,59,37,22,0,False,False,4,0.6271,0.3729
dzon1239,Dzongkha,Eurasia,Sino-Tibetan,27.410786,89.581604,58,32,26,0,False,False,9,0.5517,0.4483
dzuu1241,Dzuungoo,Africa,Mande,11.3796,-4.92036,55,26,26,3,False,True,17,0.4727,0.4727
east2282,Latgalian,Eurasia,Indo-European,56.826108,24.309118,55,38,17,0,False,False,4,0.6909,0.3091
east2295,Standard Yiddish,Eurasia,Indo-European,51.75,19.42,47,38,9,0,False,False,4,0.8085,0.1915
east2304,Eastern Hill Balochi,Eurasia,Indo-European,28.0,62.0,54,35,19,0,False,False,12,0.6481,0.3519
east2328,Cheremis,Eurasia,Uralic,55.8307,48.405,34,25,9,0,False,False,4,0.7353,0.2647
east2337,Eastern Yugur,Eurasia,Mongolic-Khitan,37.9882,101.762,42,28,14,0,False,False,4,0.6667,0.3333
east2347,Tamang,Eurasia,Sino-Tibetan,27.3239,87.0832,53,37,16,0,False,False,6,0.6981,0.3019
east2379,Eastern Arrernte,Australia,Pama-Nyungan,-23.3583,135.046,44,40,4,0,False,False,12,0.9091,0.0909
east2380,Eastern Anmatyerre,Australia,Pama-Nyungan,-22.2853,133.286,44,40,4,0,False,False,12,0.9091,0.0909
east2398,Kar,Africa,Atlantic-Congo,10.4987,-4.52253,26,16,7,3,False,True,3,0.6154,0.2692
east2426,Manding,Africa,Mande,9.33048,-10.5394,36,20,14,2,False,True,10,0.5556,0.3889
east2440,Taba,Papunesia,Austronesian,0.07337,127.423,37,32,5,0,False,False,6,0.8649,0.1351
east2516,KEWA,Papunesia,Nuclear Trans New Guinea,-6.32989,143.931,20,15,5,0,False,False,3,0.75,0.25
