Glottocode,LanguageName,macroarea,family_name,latitude,longitude,total_phonemes,has_click,has_tone_segment,kmeans_cluster,kmeans6_cluster,hier_cluster
finn1318,Finnish,Eurasia,Uralic,64.7628,25.5577,42,False,False,7,3,7
fipa1238,Fipa,Africa,Atlantic-Congo,-7.88963,31.3442,35,False,True,7,3,3
fonn1241,Fɔn,Africa,Atlantic-Congo,7.15484,1.66495,42,False,True,3,4,5
food1238,Foodo,Africa,Atlantic-Congo,9.56489,1.40486,40,False,True,7,3,3
fore1265,Forest Enets,Eurasia,Uralic,69.9829,88.2121,33,False,False,8,2,9
fore1274,Forest Nenets,Eurasia,Uralic,63.72,71.97,38,False,False,6,1,8
fraf1238,Frafra,Africa,Atlantic-Congo,11.0918,-0.81109,29,False,True,9,4,4
friu1240,Friulian,Eurasia,Indo-European,46.1473,13.0493,38,False,False,7,3,8
fuli1240,Fuliiru,Africa,Atlantic-Congo,-3.04022,28.9865,35,False,True,7,3,3
furr1244,FUR,Africa,Furan,12.0455,23.6401,30,False,False,7,3,9
furu1242,Furu,Africa,Central Sudanic,4.485,20.6448,38,False,False,9,4,4
fwee1238,Fwe,Africa,Atlantic-Congo,-17.72372,24.43151,60,True,False,1,2,4
gaaa1244,Ga,Africa,Atlantic-Congo,5.65488,-0.18598,47,False,True,3,4,5
gaaa1245,Tiba,Africa,Atlantic-Congo,8.4809,11.9603,34,False,True,9,4,4
gaam1241,Gaahmg,Africa,Eastern Jebel,11.4674,33.9797,49,False,True,7,3,3
gabi1248,Gabi-Gabi,Australia,Pama-Nyungan,-25.44486229,153.1539929,19,False,False,2,1,1
gade1236,Gade-Lohar,Eurasia,Indo-European,25.8583,78.2187,50,False,False,5,2,8
gads1258,Gadsup,Papunesia,Nuclear Trans New Guinea,-6.31631,145.997,19,False,True,2,1,7
gaga1249,Gagauz,Eurasia,Turkic,44.5988,28.0277,33,False,False,1,2,9
gagn1235,Bété,Africa,Atlantic-Congo,6.10051,-5.9701,51,False,True,7,3,3
gagu1242,Gban,Africa,Mande,6.40859,-5.51851,34,False,True,3,4,5
gali1258,Galician,Eurasia,Indo-European,42.2446,-7.5343,30,False,False,8,2,8
gali1262,Carib,South America,Cariban,5.83772,-56.8323,28,False,False,8,5,9
galo1242,Gallong,Eurasia,Sino-Tibetan,27.9805586,94.6884956,29,False,False,5,1,8
