,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10
ɖ,0.07106599,0.009216592,0.109677434,1.4901161e-08,0.7499999,1.4901161e-08,0.053846158,0.03225808,0.055813957,0.025000013
l̪,0.04568528,0.13364054,0.006451592,0.37815124,0.07758621,0.008510619,0.0115384385,0.009677388,0.03255813,0.006249979
ɑ,0.1827411,0.04608295,0.02580645,-2.2351742e-08,0.18103448,0.038297873,0.07307692,0.09032256,0.037209302,0.0375
ɡʷ,0.177665,0.03225806,0.13548386,-1.4901161e-08,0.0,0.02127659,0.06538461,0.029032256,0.19534884,0.043750003
χ,0.29441625,0.05990783,0.045161292,2.2351742e-08,0.06034482,0.12765956,0.03076924,0.01935485,0.023255818,0.0062500015
æ,0.15228428,0.105990805,0.019354858,0.004201703,0.13793105,0.051063854,0.061538476,0.06451615,0.018604673,0.018750016
ʂ,0.086294435,0.06451614,0.006451629,2.2351742e-08,0.30172414,0.13617022,0.011538494,0.048387114,0.009302348,0.043750007
tsʰ,0.21827416,0.004608296,0.012903232,7.450581e-09,0.1810345,0.08936171,0.034615383,0.07096775,0.009302333,0.018749997
t̠ʃʰ,0.2994924,0.027649777,0.019354843,1.1175871e-08,0.10344828,0.110638306,0.01923078,0.009677436,0.004651174,0.025000002
ɯ,0.06598985,0.064516135,0.038709685,0.0,0.086206906,0.063829795,0.06923078,0.093548365,0.013953492,0.08125001
tʼ,0.20812179,0.0046083033,-3.7252903e-09,-3.7252903e-09,0.0,0.1914894,0.053846154,0.012903221,3.7252903e-09,0.037500005
ɽ,0.05583757,0.018433187,0.0451613,0.09663865,0.36206892,0.012765966,0.030769238,0.035483878,0.032558147,0.031250007
t̠ʃʼ,0.26903555,0.041474666,1.8626451e-08,1.4901161e-08,1.1175871e-08,0.14893618,0.030769244,0.0096774325,0.004651185,0.018750012
˦˨,0.005076155,0.0046083033,0.16774192,1.4901161e-08,0.0,1.4901161e-08,0.14615385,0.029032273,0.21395354,0.006250009
ɬ,0.14213201,0.01382488,0.006451618,3.7252903e-09,0.025862066,0.13617024,0.019230768,0.012903236,0.12093026,0.025
n̠d̠ʒ,0.05076142,0.009216595,0.045161292,-3.7252903e-09,0.0,0.008510638,0.14615387,0.0064516105,0.21395348,0.024999997
ð,0.09137055,0.124423966,0.012903228,0.012605041,0.04310345,0.042553198,0.046153847,0.045161285,0.06511628,0.0375
pʼ,0.16243653,0.055299535,0.0,-7.450581e-09,0.008620683,0.15319145,0.038461536,0.009677425,0.0,0.031249993
